Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
2607525,271,1,7985,700,2611,65083,652.81,65524,65497,65520,4,65534,5
2607569,271,1,7985,800,2102,65418,4.13,65531,15,5,5,0,65528
2607719,271,1,7985,900,2445,209,655.34,3,2,65505,65534,65533,8
2607779,271,1,8241,0,1751,64339,0.33,65532,65522,63,3,1,65526
2607929,271,1,8241,100,2067,631,0.15,65515,65523,12,1,0,0
2607974,271,1,8241,200,2149,65255,2.69,31,65478,39,65532,0,65534
2608097,271,1,8241,300,2611,65391,649.26,45,26,65533,3,65530,3
2608169,271,1,8241,400,2430,684,0.84,9,65480,65504,65535,16,2
2608289,271,1,8241,500,1353,64789,4.09,25,77,65520,4,2,65534
2608379,271,1,8241,600,2465,64982,652.89,65513,65477,65518,1,5,4
2608499,271,1,8241,700,1910,1186,3.43,65513,13,65515,5,65530,65526
2608574,271,1,8241,800,2539,990,0.31,5,65514,65513,65535,3,3
2608694,271,1,8241,900,2293,64910,8.64,65519,7,38,3,65533,65525
2608784,271,1,8497,0,2148,64368,650.29,65526,65497,65529,4,65531,4
2608904,271,1,8497,100,2111,65311,4.99,5,65505,81,65529,65528,65534
2608980,271,1,8497,200,2094,942,653.49,65526,9,24,8,65528,2
2609189,271,1,8497,400,1537,64927,655.11,20,74,29,1,65533,3
2609309,271,1,8497,500,1893,388,655.08,65535,65491,65471,0,10,3
2609384,271,1,8497,600,2033,64428,654.94,4,47,65530,4,65535,65530
2609504,271,1,8497,700,2407,64747,650.45,65526,65496,65501,3,65535,6
2609594,271,1,8497,800,1822,302,6.82,42,11,5,5,3,65525
2609701,271,1,8497,900,923,601,4.67,14,65498,8,7,65530,6
2609789,271,1,8753,0,1935,275,3.77,65523,21,42,65528,1,65530
2609909,271,1,8753,100,1643,65204,653.14,0,5,4,4,65534,3
2609986,271,1,8753,200,2987,65468,4.44,46,65504,33,65532,65535,65531
2610104,271,1,8753,300,2081,1815,653.44,15,59,43,4,65535,2
2610209,271,1,8753,400,1515,64186,4.74,65525,65494,65532,65533,3,5
2610314,271,1,8753,500,1226,539,2.64,32,50,65534,2,5,65535
2610389,271,1,8753,600,1901,567,0.65,65523,65469,65502,2,1,6
2610509,271,1,8753,700,2108,574,5.15,65534,49,65513,0,3,65532
2610614,271,1,8753,800,1817,65337,2.51,9,65494,65482,8,65535,6
2610719,271,1,8753,900,2577,956,3.76,65532,19,65532,1,2,65526
2610794,271,1,9009,0,1517,1140,654.00,3,65532,65526,4,65534,3
2610916,271,1,9009,100,2995,65000,3.83,65532,65517,25,65530,5,65531
2611005,271,1,9009,200,2332,277,650.11,65511,14,17,0,65533,3
2611110,271,1,9009,300,2363,183,2.08,0,65496,65530,65532,0,5
2611199,271,1,9009,400,1763,65533,651.74,6,94,9,65533,65535,1
2611350,271,1,9009,500,2148,64538,2.33,13,65481,65525,1,3,7
2611409,271,1,9009,600,1074,65499,3.73,0,88,65498,65533,0,0
2611530,271,1,9009,700,1815,65458,3.68,65506,65496,65492,4,0,5
2611621,271,1,9009,800,2266,65158,655.23,65533,39,65529,0,65532,65528
2611726,271,1,9009,900,1966,63965,649.30,65520,65519,0,0,0,7
2611814,271,1,9265,0,1856,65212,3.05,65528,6,22,0,65528,65530
2611920,271,1,9265,100,1840,157,0.47,8,0,65531,65535,65528,9
