Temps,Amplitude
2087699.0000,0
2087699.0625,0
2087699.1250,0
2087699.1875,0
2087699.2500,0
2087699.3125,0
2087699.3750,0
2087699.4375,0
2087699.5000,0
2087699.5625,0
2087699.6250,0
2087699.6875,0
2087699.7500,0
2087699.8125,0
2087699.8750,0
2087699.9375,0
2087700.0000,0
2087700.0625,0
2087700.1250,0
2087700.1875,0
2087700.2500,0
2087700.3125,0
2087700.3750,0
2087700.4375,0
2087700.5000,0
2087700.5625,0
2087700.6250,0
2087700.6875,0
2087700.7500,0
2087700.8125,0
2087700.8750,0
2087700.9375,0
2087701.0000,0
2087701.0625,0
2087701.1250,0
2087701.1875,0
2087701.2500,0
2087701.3125,0
2087701.3750,0
2087701.4375,0
2087701.5000,0
2087701.5625,0
2087701.6250,0
2087701.6875,0
2087701.7500,0
2087701.8125,0
2087701.8750,0
2087701.9375,0
2087702.0000,0
2087702.0625,0
2087702.1250,0
2087702.1875,0
2087702.2500,0
2087702.3125,0
2087702.3750,0
2087702.4375,0
2087702.5000,0
2087702.5625,0
2087702.6250,0
2087702.6875,0
2087702.7500,0
2087702.8125,0
2087702.8750,0
2087702.9375,0
2087703.0000,0
2087703.0625,0
2087703.1250,0
2087703.1875,0
2087703.2500,0
2087703.3125,0
2087703.3750,0
2087703.4375,0
2087703.5000,0
2087703.5625,0
2087703.6250,0
2087703.6875,0
2087703.7500,0
2087703.8125,0
2087703.8750,0
2087703.9375,0
2087704.0000,0
2087704.0625,0
2087704.1250,0
2087704.1875,0
2087704.2500,0
2087704.3125,0
2087704.3750,0
2087704.4375,0
2087704.5000,0
2087704.5625,0
2087704.6250,0
2087704.6875,0
2087704.7500,0
2087704.8125,0
2087704.8750,0
2087704.9375,0
2087705.0000,0
2087705.0625,0
2087705.1250,0
2087705.1875,0
2087705.2500,0
2087705.3125,0
2087705.3750,0
2087705.4375,0
2087705.5000,0
2087705.5625,0
2087705.6250,0
2087705.6875,0
2087705.7500,0
2087705.8125,0
2087705.8750,0
2087705.9375,0
2087706.0000,0
2087706.0625,0
2087706.1250,0
2087706.1875,0
2087706.2500,0
2087706.3125,0
2087706.3750,0
2087706.4375,0
2087706.5000,0
2087706.5625,0
2087706.6250,0
2087706.6875,0
2087706.7500,0
2087706.8125,0
2087706.8750,0
2087706.9375,0
2087701.0000,0
2087701.0625,0
2087701.1250,0
2087701.1875,0
2087701.2500,0
2087701.3125,0
2087701.3750,0
2087701.4375,0
2087701.5000,0
2087701.5625,0
2087701.6250,0
2087701.6875,0
2087701.7500,0
2087701.8125,0
2087701.8750,0
2087701.9375,0
2087702.0000,0
2087702.0625,0
2087702.1250,0
2087702.1875,0
2087702.2500,0
2087702.3125,0
2087702.3750,0
2087702.4375,0
2087702.5000,0
2087702.5625,0
2087702.6250,0
2087702.6875,0
2087702.7500,0
2087702.8125,0
2087702.8750,0
2087702.9375,0
2087703.0000,0
2087703.0625,0
2087703.1250,0
2087703.1875,0
2087703.2500,0
2087703.3125,0
2087703.3750,0
2087703.4375,0
2087703.5000,0
2087703.5625,0
2087703.6250,0
2087703.6875,0
2087703.7500,0
2087703.8125,0
2087703.8750,0
2087703.9375,0
2087704.0000,0
2087704.0625,0
2087704.1250,0
2087704.1875,0
2087704.2500,0
2087704.3125,0
2087704.3750,0
2087704.4375,0
